2022/5/31 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4416,10:00～11:00,5/31,23:20,30,76

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3386,10:00～11:00,5/31,23:20

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
4122,7:00～8:00,5/31,23:20,45,68

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2838,7:00～8:00,5/31,23:20

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/5/31,0:00,2471,2448,63,3863
2022/5/31,1:00,2348,2340,60,3881
2022/5/31,2:00,2323,2323,59,3878
2022/5/31,3:00,2365,2356,61,3843
2022/5/31,4:00,2395,2368,62,3812
2022/5/31,5:00,2441,2414,62,3881
2022/5/31,6:00,2582,2589,65,3949
2022/5/31,7:00,2810,2838,68,4122
2022/5/31,8:00,3118,3173,72,4330
2022/5/31,9:00,3323,3363,77,4313
2022/5/31,10:00,3308,3386,74,4416
2022/5/31,11:00,3367,3330,74,4519
2022/5/31,12:00,3249,3238,71,4569
2022/5/31,13:00,3348,3375,73,4537
2022/5/31,14:00,3392,3359,74,4536
2022/5/31,15:00,3363,3347,75,4435
2022/5/31,16:00,3358,3342,77,4325
2022/5/31,17:00,3284,3277,78,4200
2022/5/31,18:00,3268,3254,77,4217
2022/5/31,19:00,3208,3182,76,4212
2022/5/31,20:00,3066,3045,73,4184
2022/5/31,21:00,2895,2876,71,4076
2022/5/31,22:00,2777,2759,70,3953
2022/5/31,23:00,2627,2617,67,3891

最大使用率(%),時間帯
78,17:00～18:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4253,14:00～15:00,6/1,0:50,18,84

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3591,14:00～15:00,6/1,0:50

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3172,7:00～8:00,6/1,0:50,18,84

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2678,7:00～8:00,6/1,0:50

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2022/5/31,0:00,2552,0,0
2022/5/31,0:05,2525,0,0
2022/5/31,0:10,2535,0,0
2022/5/31,0:15,2533,0,0
2022/5/31,0:20,2501,0,0
2022/5/31,0:25,2495,0,0
2022/5/31,0:30,2464,0,0
2022/5/31,0:35,2447,0,0
2022/5/31,0:40,2437,0,0
2022/5/31,0:45,2407,0,0
2022/5/31,0:50,2406,0,0
2022/5/31,0:55,2385,0,0
2022/5/31,1:00,2365,0,0
2022/5/31,1:05,2376,0,0
2022/5/31,1:10,2377,0,0
2022/5/31,1:15,2362,0,0
2022/5/31,1:20,2352,0,0
2022/5/31,1:25,2350,0,0
2022/5/31,1:30,2349,0,0
2022/5/31,1:35,2328,0,0
2022/5/31,1:40,2329,0,0
2022/5/31,1:45,2320,0,0
2022/5/31,1:50,2315,0,0
2022/5/31,1:55,2316,0,0
2022/5/31,2:00,2314,0,0
2022/5/31,2:05,2294,0,0
2022/5/31,2:10,2319,0,0
2022/5/31,2:15,2308,0,0
2022/5/31,2:20,2304,0,0
2022/5/31,2:25,2314,0,0
2022/5/31,2:30,2321,0,0
2022/5/31,2:35,2334,0,0
2022/5/31,2:40,2331,0,0
2022/5/31,2:45,2338,0,0
2022/5/31,2:50,2339,0,0
2022/5/31,2:55,2326,0,0
2022/5/31,3:00,2344,0,0
2022/5/31,3:05,2347,0,0
2022/5/31,3:10,2330,0,0
2022/5/31,3:15,2351,0,0
2022/5/31,3:20,2356,0,0
2022/5/31,3:25,2359,0,0
2022/5/31,3:30,2359,0,0
2022/5/31,3:35,2369,0,0
2022/5/31,3:40,2358,0,0
2022/5/31,3:45,2361,0,0
2022/5/31,3:50,2372,0,0
2022/5/31,3:55,2375,0,0
2022/5/31,4:00,2370,0,0
2022/5/31,4:05,2377,0,0
2022/5/31,4:10,2392,0,0
2022/5/31,4:15,2384,0,0
2022/5/31,4:20,2383,0,0
2022/5/31,4:25,2389,0,0
2022/5/31,4:30,2392,0,0
2022/5/31,4:35,2394,0,0
2022/5/31,4:40,2391,0,0
2022/5/31,4:45,2383,0,0
2022/5/31,4:50,2385,0,0
2022/5/31,4:55,2378,2,0
2022/5/31,5:00,2401,7,0
2022/5/31,5:05,2413,12,0
2022/5/31,5:10,2420,16,0
2022/5/31,5:15,2425,20,0
2022/5/31,5:20,2442,23,0
2022/5/31,5:25,2433,26,1
2022/5/31,5:30,2428,29,1
2022/5/31,5:35,2435,34,1
2022/5/31,5:40,2420,38,1
2022/5/31,5:45,2421,38,1
2022/5/31,5:50,2450,42,1
2022/5/31,5:55,2458,45,1
2022/5/31,6:00,2473,48,1
2022/5/31,6:05,2503,50,1
2022/5/31,6:10,2529,52,2
2022/5/31,6:15,2531,57,2
2022/5/31,6:20,2545,62,2
2022/5/31,6:25,2555,68,2
2022/5/31,6:30,2564,72,2
2022/5/31,6:35,2581,76,2
2022/5/31,6:40,2604,84,3
2022/5/31,6:45,2610,87,3
2022/5/31,6:50,2650,89,3
2022/5/31,6:55,2652,96,3
2022/5/31,7:00,2673,101,3
2022/5/31,7:05,2723,103,3
2022/5/31,7:10,2727,106,3
2022/5/31,7:15,2753,108,3
2022/5/31,7:20,2767,113,4
2022/5/31,7:25,2766,121,4
2022/5/31,7:30,2783,131,4
2022/5/31,7:35,2832,138,4
2022/5/31,7:40,2842,141,4
2022/5/31,7:45,2873,143,4
2022/5/31,7:50,2864,145,5
2022/5/31,7:55,2889,150,5
2022/5/31,8:00,2929,159,5
2022/5/31,8:05,2962,159,5
2022/5/31,8:10,3006,170,5
2022/5/31,8:15,3028,176,5
2022/5/31,8:20,3045,185,6
2022/5/31,8:25,3088,195,6
2022/5/31,8:30,3114,199,6
2022/5/31,8:35,3154,205,6
2022/5/31,8:40,3166,209,6
2022/5/31,8:45,3190,212,6
2022/5/31,8:50,3215,221,6
2022/5/31,8:55,3231,226,6
2022/5/31,9:00,3238,237,7
2022/5/31,9:05,3288,242,7
2022/5/31,9:10,3285,247,7
2022/5/31,9:15,3298,254,7
2022/5/31,9:20,3316,259,7
2022/5/31,9:25,3329,260,7
2022/5/31,9:30,3340,262,7
2022/5/31,9:35,3352,260,7
2022/5/31,9:40,3351,255,7
2022/5/31,9:45,3330,241,7
2022/5/31,9:50,3330,230,6
2022/5/31,9:55,3306,225,6
2022/5/31,10:00,3295,220,6
2022/5/31,10:05,3273,224,6
2022/5/31,10:10,3267,236,7
2022/5/31,10:15,3269,247,7
2022/5/31,10:20,3294,265,8
2022/5/31,10:25,3306,280,8
2022/5/31,10:30,3317,294,8
2022/5/31,10:35,3321,305,9
2022/5/31,10:40,3316,312,9
2022/5/31,10:45,3300,321,9
2022/5/31,10:50,3316,331,9
2022/5/31,10:55,3331,338,10
2022/5/31,11:00,3340,352,10
2022/5/31,11:05,3349,362,10
2022/5/31,11:10,3347,373,11
2022/5/31,11:15,3361,383,11
2022/5/31,11:20,3372,393,11
2022/5/31,11:25,3372,392,11
2022/5/31,11:30,3365,392,11
2022/5/31,11:35,3370,393,11
2022/5/31,11:40,3382,393,11
2022/5/31,11:45,3388,396,11
2022/5/31,11:50,3369,389,11
2022/5/31,11:55,3332,384,11
2022/5/31,12:00,3304,376,11
2022/5/31,12:05,3274,379,11
2022/5/31,12:10,3243,373,11
2022/5/31,12:15,3226,379,11
2022/5/31,12:20,3219,382,11
2022/5/31,12:25,3231,391,12
2022/5/31,12:30,3229,391,12
2022/5/31,12:35,3224,388,12
2022/5/31,12:40,3232,390,12
2022/5/31,12:45,3233,382,11
2022/5/31,12:50,3251,382,11
2022/5/31,12:55,3269,375,11
2022/5/31,13:00,3306,367,11
2022/5/31,13:05,3356,364,10
2022/5/31,13:10,3359,361,10
2022/5/31,13:15,3385,357,10
2022/5/31,13:20,3361,338,10
2022/5/31,13:25,3355,323,9
2022/5/31,13:30,3332,309,9
2022/5/31,13:35,3327,299,8
2022/5/31,13:40,3323,285,8
2022/5/31,13:45,3334,287,8
2022/5/31,13:50,3339,291,8
2022/5/31,13:55,3333,285,8
2022/5/31,14:00,3351,295,8
2022/5/31,14:05,3373,305,9
2022/5/31,14:10,3389,309,9
2022/5/31,14:15,3400,308,9
2022/5/31,14:20,3389,306,9
2022/5/31,14:25,3402,303,8
2022/5/31,14:30,3390,300,8
2022/5/31,14:35,3391,296,8
2022/5/31,14:40,3393,294,8
2022/5/31,14:45,3397,286,8
2022/5/31,14:50,3373,276,8
2022/5/31,14:55,3371,275,8
2022/5/31,15:00,3353,269,8
2022/5/31,15:05,3341,263,7
2022/5/31,15:10,3335,255,7
2022/5/31,15:15,3348,247,7
2022/5/31,15:20,3359,244,7
2022/5/31,15:25,3360,242,7
2022/5/31,15:30,3366,233,6
2022/5/31,15:35,3386,223,6
2022/5/31,15:40,3372,214,6
2022/5/31,15:45,3363,204,6
2022/5/31,15:50,3353,193,5
2022/5/31,15:55,3348,179,5
2022/5/31,16:00,3344,170,5
2022/5/31,16:05,3359,162,4
2022/5/31,16:10,3368,160,4
2022/5/31,16:15,3360,157,4
2022/5/31,16:20,3366,148,4
2022/5/31,16:25,3360,144,4
2022/5/31,16:30,3358,139,4
2022/5/31,16:35,3363,131,3
2022/5/31,16:40,3350,125,3
2022/5/31,16:45,3334,116,3
2022/5/31,16:50,3328,109,3
2022/5/31,16:55,3331,107,3
2022/5/31,17:00,3309,100,3
2022/5/31,17:05,3309,93,2
2022/5/31,17:10,3291,87,2
2022/5/31,17:15,3288,80,2
2022/5/31,17:20,3278,74,2
2022/5/31,17:25,3280,68,2
2022/5/31,17:30,3273,61,1
2022/5/31,17:35,3267,56,1
2022/5/31,17:40,3269,49,1
2022/5/31,17:45,3269,44,1
2022/5/31,17:50,3262,38,1
2022/5/31,17:55,3261,33,1
2022/5/31,18:00,3264,28,0
2022/5/31,18:05,3246,23,0
2022/5/31,18:10,3245,18,0
2022/5/31,18:15,3254,15,0
2022/5/31,18:20,3255,12,0
2022/5/31,18:25,3258,8,0
2022/5/31,18:30,3254,3,0
2022/5/31,18:35,3258,0,0
2022/5/31,18:40,3260,0,0
2022/5/31,18:45,3273,0,0
2022/5/31,18:50,3283,0,0
2022/5/31,18:55,3273,0,0
2022/5/31,19:00,3273,0,0
2022/5/31,19:05,3257,0,0
2022/5/31,19:10,3254,0,0
2022/5/31,19:15,3236,0,0
2022/5/31,19:20,3227,0,0
2022/5/31,19:25,3208,0,0
2022/5/31,19:30,3197,0,0
2022/5/31,19:35,3188,0,0
2022/5/31,19:40,3181,0,0
2022/5/31,19:45,3178,0,0
2022/5/31,19:50,3166,0,0
2022/5/31,19:55,3138,0,0
2022/5/31,20:00,3126,0,0
2022/5/31,20:05,3114,0,0
2022/5/31,20:10,3102,0,0
2022/5/31,20:15,3077,0,0
2022/5/31,20:20,3071,0,0
2022/5/31,20:25,3062,0,0
2022/5/31,20:30,3075,0,0
2022/5/31,20:35,3054,0,0
2022/5/31,20:40,3034,0,0
2022/5/31,20:45,3040,0,0
2022/5/31,20:50,3001,0,0
2022/5/31,20:55,3016,0,0
2022/5/31,21:00,2993,0,0
2022/5/31,21:05,2979,0,0
2022/5/31,21:10,2945,0,0
2022/5/31,21:15,2945,0,0
2022/5/31,21:20,2923,0,0
2022/5/31,21:25,2917,0,0
2022/5/31,21:30,2896,0,0
2022/5/31,21:35,2871,0,0
2022/5/31,21:40,2853,0,0
2022/5/31,21:45,2839,0,0
2022/5/31,21:50,2817,0,0
2022/5/31,21:55,2800,0,0
2022/5/31,22:00,2795,0,0
2022/5/31,22:05,2831,0,0
2022/5/31,22:10,2828,0,0
2022/5/31,22:15,2799,0,0
2022/5/31,22:20,2801,0,0
2022/5/31,22:25,2774,0,0
2022/5/31,22:30,2786,0,0
2022/5/31,22:35,2768,0,0
2022/5/31,22:40,2748,0,0
2022/5/31,22:45,2732,0,0
2022/5/31,22:50,2720,0,0
2022/5/31,22:55,2715,0,0
2022/5/31,23:00,2685,0,0
2022/5/31,23:05,2699,0,0
2022/5/31,23:10,2680,0,0
2022/5/31,23:15,2670,0,0
2022/5/31,23:20,2666,0,0
2022/5/31,23:25,2624,0,0
2022/5/31,23:30,2612,0,0
2022/5/31,23:35,2606,0,0
2022/5/31,23:40,2602,0,0
2022/5/31,23:45,2588,0,0
2022/5/31,23:50,2570,0,0
2022/5/31,23:55,2543,0,0

