2022/5/12 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4411,11:00～12:00,5/12,23:20,29,77

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3429,11:00～12:00,5/12,23:20

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3757,18:00～19:00,5/12,23:20,14,87

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3297,18:00～19:00,5/12,23:20

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/5/12,0:00,2353,2340,67,3502
2022/5/12,1:00,2248,2247,64,3493
2022/5/12,2:00,2243,2244,64,3473
2022/5/12,3:00,2276,2278,65,3456
2022/5/12,4:00,2296,2293,66,3429
2022/5/12,5:00,2291,2293,66,3460
2022/5/12,6:00,2393,2395,65,3658
2022/5/12,7:00,2636,2605,66,3958
2022/5/12,8:00,3009,2985,69,4301
2022/5/12,9:00,3290,3276,72,4508
2022/5/12,10:00,3390,3396,75,4492
2022/5/12,11:00,3415,3429,77,4411
2022/5/12,12:00,3309,3284,78,4210
2022/5/12,13:00,3412,3401,83,4092
2022/5/12,14:00,3356,3386,84,3974
2022/5/12,15:00,3291,3312,84,3875
2022/5/12,16:00,3308,3296,88,3758
2022/5/12,17:00,3292,3264,87,3783
2022/5/12,18:00,3276,3297,87,3757
2022/5/12,19:00,3169,3166,83,3774
2022/5/12,20:00,3022,3012,79,3781
2022/5/12,21:00,2859,2838,75,3811
2022/5/12,22:00,2732,2711,72,3747
2022/5/12,23:00,2600,2567,70,3711

最大使用率(%),時間帯
88,16:00～17:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
3692,11:00～12:00,5/13,0:50,8,92

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3410,11:00～12:00,5/13,0:50

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2921,22:00～23:00,5/13,0:50,8,92

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2699,22:00～23:00,5/13,0:50

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2022/5/12,0:00,2440,0,0
2022/5/12,0:05,2436,0,0
2022/5/12,0:10,2414,0,0
2022/5/12,0:15,2391,0,0
2022/5/12,0:20,2380,0,0
2022/5/12,0:25,2354,0,0
2022/5/12,0:30,2352,0,0
2022/5/12,0:35,2337,0,0
2022/5/12,0:40,2328,0,0
2022/5/12,0:45,2294,0,0
2022/5/12,0:50,2283,0,0
2022/5/12,0:55,2263,0,0
2022/5/12,1:00,2264,0,0
2022/5/12,1:05,2270,0,0
2022/5/12,1:10,2276,0,0
2022/5/12,1:15,2252,0,0
2022/5/12,1:20,2237,0,0
2022/5/12,1:25,2248,0,0
2022/5/12,1:30,2239,0,0
2022/5/12,1:35,2237,0,0
2022/5/12,1:40,2237,0,0
2022/5/12,1:45,2227,0,0
2022/5/12,1:50,2227,0,0
2022/5/12,1:55,2235,0,0
2022/5/12,2:00,2235,0,0
2022/5/12,2:05,2241,0,0
2022/5/12,2:10,2235,0,0
2022/5/12,2:15,2224,0,0
2022/5/12,2:20,2235,0,0
2022/5/12,2:25,2223,0,0
2022/5/12,2:30,2229,0,0
2022/5/12,2:35,2248,0,0
2022/5/12,2:40,2252,0,0
2022/5/12,2:45,2243,0,0
2022/5/12,2:50,2251,0,0
2022/5/12,2:55,2260,0,0
2022/5/12,3:00,2256,0,0
2022/5/12,3:05,2255,0,0
2022/5/12,3:10,2274,0,0
2022/5/12,3:15,2267,0,0
2022/5/12,3:20,2277,0,0
2022/5/12,3:25,2267,0,0
2022/5/12,3:30,2264,0,0
2022/5/12,3:35,2281,0,0
2022/5/12,3:40,2266,0,0
2022/5/12,3:45,2277,0,0
2022/5/12,3:50,2279,0,0
2022/5/12,3:55,2275,0,0
2022/5/12,4:00,2278,0,0
2022/5/12,4:05,2292,0,0
2022/5/12,4:10,2301,0,0
2022/5/12,4:15,2288,0,0
2022/5/12,4:20,2278,0,0
2022/5/12,4:25,2296,0,0
2022/5/12,4:30,2289,0,0
2022/5/12,4:35,2296,0,0
2022/5/12,4:40,2300,0,0
2022/5/12,4:45,2280,0,0
2022/5/12,4:50,2288,0,0
2022/5/12,4:55,2285,0,0
2022/5/12,5:00,2284,0,0
2022/5/12,5:05,2287,5,0
2022/5/12,5:10,2295,15,0
2022/5/12,5:15,2296,22,0
2022/5/12,5:20,2300,29,1
2022/5/12,5:25,2284,36,1
2022/5/12,5:30,2274,44,1
2022/5/12,5:35,2267,51,2
2022/5/12,5:40,2276,61,2
2022/5/12,5:45,2278,71,3
2022/5/12,5:50,2272,82,3
2022/5/12,5:55,2274,92,4
2022/5/12,6:00,2294,105,4
2022/5/12,6:05,2325,118,5
2022/5/12,6:10,2340,133,5
2022/5/12,6:15,2337,149,6
2022/5/12,6:20,2347,166,7
2022/5/12,6:25,2362,182,7
2022/5/12,6:30,2364,202,8
2022/5/12,6:35,2412,223,9
2022/5/12,6:40,2423,243,10
2022/5/12,6:45,2432,263,10
2022/5/12,6:50,2446,283,11
2022/5/12,6:55,2452,307,12
2022/5/12,7:00,2501,335,13
2022/5/12,7:05,2540,361,14
2022/5/12,7:10,2543,385,15
2022/5/12,7:15,2573,406,15
2022/5/12,7:20,2580,428,16
2022/5/12,7:25,2593,452,17
2022/5/12,7:30,2623,480,18
2022/5/12,7:35,2665,509,19
2022/5/12,7:40,2681,536,19
2022/5/12,7:45,2716,560,20
2022/5/12,7:50,2722,583,21
2022/5/12,7:55,2718,605,22
2022/5/12,8:00,2783,633,22
2022/5/12,8:05,2833,659,23
2022/5/12,8:10,2877,682,23
2022/5/12,8:15,2918,704,24
2022/5/12,8:20,2940,723,24
2022/5/12,8:25,2989,737,24
2022/5/12,8:30,3019,754,24
2022/5/12,8:35,3043,765,25
2022/5/12,8:40,3065,775,25
2022/5/12,8:45,3106,789,25
2022/5/12,8:50,3134,804,25
2022/5/12,8:55,3148,815,25
2022/5/12,9:00,3175,826,26
2022/5/12,9:05,3221,842,26
2022/5/12,9:10,3229,853,26
2022/5/12,9:15,3235,867,26
2022/5/12,9:20,3264,881,26
2022/5/12,9:25,3277,896,27
2022/5/12,9:30,3306,907,27
2022/5/12,9:35,3313,914,27
2022/5/12,9:40,3316,922,27
2022/5/12,9:45,3321,924,27
2022/5/12,9:50,3344,933,27
2022/5/12,9:55,3353,935,27
2022/5/12,10:00,3363,939,27
2022/5/12,10:05,3352,941,28
2022/5/12,10:10,3349,950,28
2022/5/12,10:15,3352,948,28
2022/5/12,10:20,3364,949,28
2022/5/12,10:25,3390,951,28
2022/5/12,10:30,3409,952,27
2022/5/12,10:35,3399,954,28
2022/5/12,10:40,3399,954,28
2022/5/12,10:45,3401,948,27
2022/5/12,10:50,3403,943,27
2022/5/12,10:55,3418,949,27
2022/5/12,11:00,3442,951,27
2022/5/12,11:05,3431,944,27
2022/5/12,11:10,3428,945,27
2022/5/12,11:15,3424,936,27
2022/5/12,11:20,3422,930,27
2022/5/12,11:25,3409,914,26
2022/5/12,11:30,3399,902,26
2022/5/12,11:35,3393,898,26
2022/5/12,11:40,3396,894,26
2022/5/12,11:45,3410,884,25
2022/5/12,11:50,3399,879,25
2022/5/12,11:55,3401,871,25
2022/5/12,12:00,3392,861,25
2022/5/12,12:05,3379,846,25
2022/5/12,12:10,3357,835,24
2022/5/12,12:15,3338,823,24
2022/5/12,12:20,3320,800,24
2022/5/12,12:25,3302,767,23
2022/5/12,12:30,3274,737,22
2022/5/12,12:35,3258,713,21
2022/5/12,12:40,3259,692,21
2022/5/12,12:45,3269,682,20
2022/5/12,12:50,3275,665,20
2022/5/12,12:55,3290,643,19
2022/5/12,13:00,3333,633,18
2022/5/12,13:05,3388,619,18
2022/5/12,13:10,3398,607,17
2022/5/12,13:15,3403,586,17
2022/5/12,13:20,3420,567,16
2022/5/12,13:25,3410,534,15
2022/5/12,13:30,3404,507,14
2022/5/12,13:35,3399,484,14
2022/5/12,13:40,3415,465,13
2022/5/12,13:45,3430,441,12
2022/5/12,13:50,3435,422,12
2022/5/12,13:55,3436,395,11
2022/5/12,14:00,3414,373,10
2022/5/12,14:05,3422,344,10
2022/5/12,14:10,3410,320,9
2022/5/12,14:15,3398,302,8
2022/5/12,14:20,3386,284,8
2022/5/12,14:25,3367,263,7
2022/5/12,14:30,3352,249,7
2022/5/12,14:35,3342,238,7
2022/5/12,14:40,3319,224,6
2022/5/12,14:45,3314,207,6
2022/5/12,14:50,3304,192,5
2022/5/12,14:55,3291,187,5
2022/5/12,15:00,3268,183,5
2022/5/12,15:05,3284,183,5
2022/5/12,15:10,3271,180,5
2022/5/12,15:15,3292,179,5
2022/5/12,15:20,3295,171,5
2022/5/12,15:25,3297,166,5
2022/5/12,15:30,3286,159,4
2022/5/12,15:35,3295,153,4
2022/5/12,15:40,3293,145,4
2022/5/12,15:45,3292,139,4
2022/5/12,15:50,3291,131,3
2022/5/12,15:55,3282,125,3
2022/5/12,16:00,3289,117,3
2022/5/12,16:05,3302,109,3
2022/5/12,16:10,3302,101,3
2022/5/12,16:15,3282,91,2
2022/5/12,16:20,3297,84,2
2022/5/12,16:25,3306,82,2
2022/5/12,16:30,3309,76,2
2022/5/12,16:35,3305,70,2
2022/5/12,16:40,3303,62,1
2022/5/12,16:45,3312,55,1
2022/5/12,16:50,3310,49,1
2022/5/12,16:55,3305,44,1
2022/5/12,17:00,3304,38,1
2022/5/12,17:05,3296,33,1
