2022/12/10 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4541,18:00～19:00,12/10,23:20,34,74

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3380,18:00～19:00,12/10,23:20

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3358,1:00～2:00,12/10,23:20,24,80

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2707,1:00～2:00,12/10,23:20

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/12/10,0:00,2849,2851,73,3876
2022/12/10,1:00,2739,2707,81,3358
2022/12/10,2:00,2701,2674,81,3321
2022/12/10,3:00,2684,2678,80,3326
2022/12/10,4:00,2691,2693,80,3359
2022/12/10,5:00,2760,2761,79,3464
2022/12/10,6:00,2926,2951,78,3721
2022/12/10,7:00,3126,3171,77,4031
2022/12/10,8:00,3267,3287,77,4233
2022/12/10,9:00,3276,3283,76,4255
2022/12/10,10:00,3179,3211,75,4204
2022/12/10,11:00,3093,3082,75,4097
2022/12/10,12:00,3005,2982,75,3996
2022/12/10,13:00,2984,2988,74,4018
2022/12/10,14:00,2980,2970,73,4055
2022/12/10,15:00,2992,2974,70,4220
2022/12/10,16:00,3129,3138,72,4316
2022/12/10,17:00,3316,3364,75,4394
2022/12/10,18:00,3355,3380,73,4541
2022/12/10,19:00,3311,3328,72,4546
2022/12/10,20:00,3238,3244,71,4522
2022/12/10,21:00,3102,3087,69,4434
2022/12/10,22:00,2963,2945,68,4350
2022/12/10,23:00,2794,2798,66,4201

最大使用率(%),時間帯
81,1:00～2:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4561,18:00～19:00,12/11,23:20,30,76

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3504,18:00～19:00,12/11,23:20

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3051,4:00～5:00,12/11,23:20,22,81

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2501,4:00～5:00,12/11,23:20

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2022/12/10,0:00,2943,0,0
2022/12/10,0:05,2937,0,0
2022/12/10,0:10,2922,0,0
2022/12/10,0:15,2895,0,0
2022/12/10,0:20,2866,0,0
2022/12/10,0:25,2844,0,0
2022/12/10,0:30,2854,0,0
2022/12/10,0:35,2823,0,0
2022/12/10,0:40,2802,0,0
2022/12/10,0:45,2790,0,0
2022/12/10,0:50,2779,0,0
2022/12/10,0:55,2760,0,0
2022/12/10,1:00,2759,0,0
2022/12/10,1:05,2759,0,0
2022/12/10,1:10,2757,0,0
2022/12/10,1:15,2757,0,0
2022/12/10,1:20,2722,0,0
2022/12/10,1:25,2720,0,0
2022/12/10,1:30,2717,0,0
2022/12/10,1:35,2733,0,0
2022/12/10,1:40,2734,0,0
2022/12/10,1:45,2730,0,0
2022/12/10,1:50,2711,0,0
2022/12/10,1:55,2732,0,0
2022/12/10,2:00,2711,0,0
2022/12/10,2:05,2714,0,0
2022/12/10,2:10,2709,0,0
2022/12/10,2:15,2692,0,0
2022/12/10,2:20,2684,0,0
2022/12/10,2:25,2684,0,0
2022/12/10,2:30,2690,0,0
2022/12/10,2:35,2702,0,0
2022/12/10,2:40,2687,0,0
2022/12/10,2:45,2701,0,0
2022/12/10,2:50,2702,0,0
2022/12/10,2:55,2678,0,0
2022/12/10,3:00,2679,0,0
2022/12/10,3:05,2694,0,0
2022/12/10,3:10,2691,0,0
2022/12/10,3:15,2682,0,0
2022/12/10,3:20,2674,0,0
2022/12/10,3:25,2662,0,0
2022/12/10,3:30,2666,0,0
2022/12/10,3:35,2671,0,0
2022/12/10,3:40,2670,0,0
2022/12/10,3:45,2677,0,0
2022/12/10,3:50,2675,0,0
2022/12/10,3:55,2678,0,0
2022/12/10,4:00,2674,0,0
2022/12/10,4:05,2673,0,0
2022/12/10,4:10,2675,0,0
2022/12/10,4:15,2680,0,0
2022/12/10,4:20,2681,0,0
2022/12/10,4:25,2688,0,0
2022/12/10,4:30,2681,0,0
2022/12/10,4:35,2668,0,0
2022/12/10,4:40,2697,0,0
2022/12/10,4:45,2688,0,0
2022/12/10,4:50,2691,0,0
2022/12/10,4:55,2697,0,0
2022/12/10,5:00,2694,0,0
2022/12/10,5:05,2716,0,0
2022/12/10,5:10,2732,0,0
2022/12/10,5:15,2729,0,0
2022/12/10,5:20,2738,0,0
2022/12/10,5:25,2737,0,0
2022/12/10,5:30,2753,0,0
2022/12/10,5:35,2780,0,0
2022/12/10,5:40,2768,0,0
2022/12/10,5:45,2770,0,0
2022/12/10,5:50,2788,0,0
2022/12/10,5:55,2779,0,0
2022/12/10,6:00,2809,0,0
2022/12/10,6:05,2839,0,0
2022/12/10,6:10,2858,0,0
2022/12/10,6:15,2873,0,0
2022/12/10,6:20,2899,0,0
2022/12/10,6:25,2904,0,0
2022/12/10,6:30,2925,0,0
2022/12/10,6:35,2947,0,0
2022/12/10,6:40,2943,0,0
2022/12/10,6:45,2968,0,0
2022/12/10,6:50,2989,0,0
2022/12/10,6:55,2990,1,0
2022/12/10,7:00,3005,4,0
2022/12/10,7:05,3031,7,0
2022/12/10,7:10,3047,23,0
2022/12/10,7:15,3083,52,1
2022/12/10,7:20,3102,73,2
2022/12/10,7:25,3133,91,2
2022/12/10,7:30,3118,112,3
2022/12/10,7:35,3156,135,4
2022/12/10,7:40,3159,161,5
2022/12/10,7:45,3166,189,5
2022/12/10,7:50,3170,217,6
2022/12/10,7:55,3187,246,7
2022/12/10,8:00,3195,275,8
2022/12/10,8:05,3235,301,9
2022/12/10,8:10,3248,329,10
2022/12/10,8:15,3257,355,10
2022/12/10,8:20,3239,384,11
2022/12/10,8:25,3264,413,12
2022/12/10,8:30,3265,444,13
2022/12/10,8:35,3267,473,14
2022/12/10,8:40,3265,503,15
2022/12/10,8:45,3291,531,16
2022/12/10,8:50,3288,564,17
2022/12/10,8:55,3283,593,18
2022/12/10,9:00,3292,623,18
2022/12/10,9:05,3296,651,19
2022/12/10,9:10,3295,680,20
2022/12/10,9:15,3301,708,21
2022/12/10,9:20,3274,731,22
2022/12/10,9:25,3281,756,23
2022/12/10,9:30,3274,781,23
2022/12/10,9:35,3272,805,24
2022/12/10,9:40,3275,828,25
2022/12/10,9:45,3253,850,26
2022/12/10,9:50,3252,871,26
2022/12/10,9:55,3239,890,27
2022/12/10,10:00,3234,910,28
2022/12/10,10:05,3224,928,28
2022/12/10,10:10,3210,945,29
2022/12/10,10:15,3209,961,29
2022/12/10,10:20,3196,975,30
2022/12/10,10:25,3188,988,30
2022/12/10,10:30,3180,1000,31
2022/12/10,10:35,3152,1009,32
2022/12/10,10:40,3155,1019,32
2022/12/10,10:45,3154,1027,32
2022/12/10,10:50,3127,1036,33
2022/12/10,10:55,3120,1044,33
2022/12/10,11:00,3121,1050,33
2022/12/10,11:05,3129,1056,33
2022/12/10,11:10,3107,1061,34
2022/12/10,11:15,3113,1065,34
2022/12/10,11:20,3090,1068,34
2022/12/10,11:25,3099,1070,34
2022/12/10,11:30,3088,1071,34
2022/12/10,11:35,3096,1072,34
2022/12/10,11:40,3076,1071,34
2022/12/10,11:45,3073,1070,34
2022/12/10,11:50,3068,1068,34
2022/12/10,11:55,3047,1065,34
2022/12/10,12:00,3062,1061,34
2022/12/10,12:05,3068,1058,34
2022/12/10,12:10,3044,1053,34
2022/12/10,12:15,3035,1047,34
2022/12/10,12:20,3006,1041,34
2022/12/10,12:25,2998,1032,34
2022/12/10,12:30,2985,1024,34
2022/12/10,12:35,2983,1015,34
2022/12/10,12:40,2984,1006,33
2022/12/10,12:45,2978,994,33
2022/12/10,12:50,2962,984,33
2022/12/10,12:55,2960,971,32
2022/12/10,13:00,2974,959,32
2022/12/10,13:05,3001,945,31
2022/12/10,13:10,2988,932,31
2022/12/10,13:15,2986,916,30
2022/12/10,13:20,2984,899,30
2022/12/10,13:25,2983,882,29
2022/12/10,13:30,2967,863,29
2022/12/10,13:35,2990,844,28
2022/12/10,13:40,2982,824,27
2022/12/10,13:45,2978,803,26
2022/12/10,13:50,2965,778,26
2022/12/10,13:55,2962,755,25
2022/12/10,14:00,2966,732,24
2022/12/10,14:05,2975,709,23
2022/12/10,14:10,2980,683,22
2022/12/10,14:15,2980,657,22
2022/12/10,14:20,2980,630,21
2022/12/10,14:25,2976,601,20
2022/12/10,14:30,2959,573,19
2022/12/10,14:35,2979,544,18
2022/12/10,14:40,2965,514,17
2022/12/10,14:45,2979,484,16
2022/12/10,14:50,2965,454,15
2022/12/10,14:55,2970,424,14
2022/12/10,15:00,2978,393,13
2022/12/10,15:05,2985,362,12
2022/12/10,15:10,2976,332,11
2022/12/10,15:15,2979,303,10
2022/12/10,15:20,2970,273,9
2022/12/10,15:25,2976,244,8
2022/12/10,15:30,2970,217,7
2022/12/10,15:35,2973,190,6
2022/12/10,15:40,2988,164,5
2022/12/10,15:45,2987,140,4
2022/12/10,15:50,2987,118,3
2022/12/10,15:55,2997,97,3
2022/12/10,16:00,3023,76,2
2022/12/10,16:05,3029,56,1
2022/12/10,16:10,3028,31,1
2022/12/10,16:15,3042,8,0
2022/12/10,16:20,3067,3,0
2022/12/10,16:25,3087,1,0
2022/12/10,16:30,3110,0,0
2022/12/10,16:35,3142,0,0
2022/12/10,16:40,3170,0,0
2022/12/10,16:45,3180,0,0
2022/12/10,16:50,3217,0,0
2022/12/10,16:55,3227,0,0
2022/12/10,17:00,3243,0,0
2022/12/10,17:05,3279,0,0
2022/12/10,17:10,3282,0,0
2022/12/10,17:15,3296,0,0
2022/12/10,17:20,3309,0,0
2022/12/10,17:25,3301,0,0
2022/12/10,17:30,3311,0,0
2022/12/10,17:35,3323,0,0
2022/12/10,17:40,3320,0,0
2022/12/10,17:45,3304,0,0
2022/12/10,17:50,3322,0,0
2022/12/10,17:55,3349,0,0
2022/12/10,18:00,3354,0,0
2022/12/10,18:05,3359,0,0
2022/12/10,18:10,3353,0,0
2022/12/10,18:15,3360,0,0
2022/12/10,18:20,3358,0,0
2022/12/10,18:25,3349,0,0
2022/12/10,18:30,3349,0,0
2022/12/10,18:35,3332,0,0
2022/12/10,18:40,3347,0,0
2022/12/10,18:45,3353,0,0
2022/12/10,18:50,3343,0,0
2022/12/10,18:55,3334,0,0
2022/12/10,19:00,3326,0,0
2022/12/10,19:05,3331,0,0
2022/12/10,19:10,3333,0,0
2022/12/10,19:15,3323,0,0
2022/12/10,19:20,3325,0,0
2022/12/10,19:25,3299,0,0
2022/12/10,19:30,3292,0,0
2022/12/10,19:35,3288,0,0
2022/12/10,19:40,3296,0,0
2022/12/10,19:45,3284,0,0
2022/12/10,19:50,3290,0,0
2022/12/10,19:55,3280,0,0
2022/12/10,20:00,3273,0,0
2022/12/10,20:05,3272,0,0
2022/12/10,20:10,3266,0,0
2022/12/10,20:15,3264,0,0
2022/12/10,20:20,3238,0,0
2022/12/10,20:25,3241,0,0
2022/12/10,20:30,3227,0,0
2022/12/10,20:35,3229,0,0
2022/12/10,20:40,3209,0,0
2022/12/10,20:45,3213,0,0
2022/12/10,20:50,3200,0,0
2022/12/10,20:55,3193,0,0
2022/12/10,21:00,3177,0,0
2022/12/10,21:05,3162,0,0
2022/12/10,21:10,3147,0,0
2022/12/10,21:15,3133,0,0
2022/12/10,21:20,3119,0,0
2022/12/10,21:25,3105,0,0
2022/12/10,21:30,3084,0,0
2022/12/10,21:35,3079,0,0
2022/12/10,21:40,3088,0,0
2022/12/10,21:45,3063,0,0
2022/12/10,21:50,3047,0,0
2022/12/10,21:55,3025,0,0
2022/12/10,22:00,3022,0,0
2022/12/10,22:05,3025,0,0
2022/12/10,22:10,3029,0,0
2022/12/10,22:15,3004,0,0
2022/12/10,22:20,2993,0,0
2022/12/10,22:25,2967,0,0
2022/12/10,22:30,2966,0,0
2022/12/10,22:35,2946,0,0
2022/12/10,22:40,2927,0,0
2022/12/10,22:45,2915,0,0
2022/12/10,22:50,2875,0,0
2022/12/10,22:55,2873,0,0
2022/12/10,23:00,2851,0,0
2022/12/10,23:05,2855,0,0
2022/12/10,23:10,2853,0,0
2022/12/10,23:15,2841,0,0
2022/12/10,23:20,2831,0,0
2022/12/10,23:25,2810,0,0
2022/12/10,23:30,2778,0,0
2022/12/10,23:35,2776,0,0
2022/12/10,23:40,2757,0,0
2022/12/10,23:45,2748,0,0
2022/12/10,23:50,2714,0,0
2022/12/10,23:55,2683,0,0

