2022/6/13 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
5018,13:00～14:00,6/13,23:20,39,71

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3605,13:00～14:00,6/13,23:20

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3668,5:00～6:00,6/13,23:20,65,60

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2221,5:00～6:00,6/13,23:20

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/6/13,0:00,2236,2224,60,3701
2022/6/13,1:00,2132,2128,58,3661
2022/6/13,2:00,2127,2116,58,3648
2022/6/13,3:00,2180,2169,59,3653
2022/6/13,4:00,2192,2197,59,3664
2022/6/13,5:00,2171,2221,59,3668
2022/6/13,6:00,2282,2293,59,3824
2022/6/13,7:00,2539,2542,60,4218
2022/6/13,8:00,2939,2959,61,4742
2022/6/13,9:00,3260,3270,66,4906
2022/6/13,10:00,3457,3387,68,5074
2022/6/13,11:00,3565,3547,68,5170
2022/6/13,12:00,3472,3497,68,5065
2022/6/13,13:00,3580,3605,71,5018
2022/6/13,14:00,3559,3581,72,4932
2022/6/13,15:00,3480,3496,73,4713
2022/6/13,16:00,3406,3440,76,4434
2022/6/13,17:00,3282,3285,76,4264
2022/6/13,18:00,3290,3234,80,4087
2022/6/13,19:00,3210,3209,78,4103
2022/6/13,20:00,3048,3038,74,4070
2022/6/13,21:00,2881,2852,72,3994
2022/6/13,22:00,2756,2737,70,3901
2022/6/13,23:00,2602,2594,67,3864

最大使用率(%),時間帯
80,18:00～19:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
3973,11:00～12:00,6/14,0:50,17,85

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3390,11:00～12:00,6/14,0:50

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3210,7:00～8:00,6/14,0:50,17,85

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2738,7:00～8:00,6/14,0:50

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2022/6/13,0:00,2296,0,0
2022/6/13,0:05,2289,0,0
2022/6/13,0:10,2304,0,0
2022/6/13,0:15,2259,0,0
2022/6/13,0:20,2266,0,0
2022/6/13,0:25,2234,0,0
2022/6/13,0:30,2226,0,0
2022/6/13,0:35,2204,0,0
2022/6/13,0:40,2211,0,0
2022/6/13,0:45,2191,0,0
2022/6/13,0:50,2171,0,0
2022/6/13,0:55,2161,0,0
2022/6/13,1:00,2133,0,0
2022/6/13,1:05,2143,0,0
2022/6/13,1:10,2123,0,0
2022/6/13,1:15,2127,0,0
2022/6/13,1:20,2120,0,0
2022/6/13,1:25,2123,0,0
2022/6/13,1:30,2099,0,0
2022/6/13,1:35,2103,0,0
2022/6/13,1:40,2105,0,0
2022/6/13,1:45,2109,0,0
2022/6/13,1:50,2108,0,0
2022/6/13,1:55,2112,0,0
2022/6/13,2:00,2095,0,0
2022/6/13,2:05,2116,0,0
2022/6/13,2:10,2099,0,0
2022/6/13,2:15,2110,0,0
2022/6/13,2:20,2104,0,0
2022/6/13,2:25,2117,0,0
2022/6/13,2:30,2104,0,0
2022/6/13,2:35,2107,0,0
2022/6/13,2:40,2124,0,0
2022/6/13,2:45,2132,0,0
2022/6/13,2:50,2130,0,0
2022/6/13,2:55,2131,0,0
2022/6/13,3:00,2152,0,0
2022/6/13,3:05,2158,0,0
2022/6/13,3:10,2139,0,0
2022/6/13,3:15,2163,0,0
2022/6/13,3:20,2165,0,0
2022/6/13,3:25,2154,0,0
2022/6/13,3:30,2169,0,0
2022/6/13,3:35,2164,0,0
2022/6/13,3:40,2190,0,0
2022/6/13,3:45,2189,0,0
2022/6/13,3:50,2176,0,0
2022/6/13,3:55,2188,0,0
2022/6/13,4:00,2179,0,0
2022/6/13,4:05,2193,0,0
2022/6/13,4:10,2191,0,0
2022/6/13,4:15,2184,0,0
2022/6/13,4:20,2192,0,0
2022/6/13,4:25,2183,0,0
2022/6/13,4:30,2178,0,0
2022/6/13,4:35,2188,0,0
2022/6/13,4:40,2192,0,0
2022/6/13,4:45,2177,0,0
2022/6/13,4:50,2172,0,0
2022/6/13,4:55,2138,3,0
2022/6/13,5:00,2156,13,0
2022/6/13,5:05,2151,21,0
2022/6/13,5:10,2165,28,1
2022/6/13,5:15,2165,35,1
2022/6/13,5:20,2153,43,1
2022/6/13,5:25,2162,52,2
2022/6/13,5:30,2158,61,2
2022/6/13,5:35,2159,72,3
2022/6/13,5:40,2166,83,3
2022/6/13,5:45,2151,94,4
2022/6/13,5:50,2157,109,5
