2022/6/29 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
5775,13:00～14:00,6/29,23:20,8,92

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
5354,13:00～14:00,6/29,23:20

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
4920,9:00～10:00,6/29,23:20,2,97

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
4819,9:00～10:00,6/29,23:20

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/6/29,0:00,3089,3081,86,3561
2022/6/29,1:00,2870,2865,81,3541
2022/6/29,2:00,2763,2766,77,3583
2022/6/29,3:00,2740,2746,76,3579
2022/6/29,4:00,2723,2732,75,3583
2022/6/29,5:00,2786,2792,76,3629
2022/6/29,6:00,3048,3022,80,3775
2022/6/29,7:00,3552,3528,87,4059
2022/6/29,8:00,4232,4260,93,4507
2022/6/29,9:00,4776,4819,97,4920
2022/6/29,10:00,5018,5039,96,5205
2022/6/29,11:00,5155,5197,94,5427
2022/6/29,12:00,5143,5219,93,5515
2022/6/29,13:00,5296,5354,91,5775
2022/6/29,14:00,5291,5353,90,5859
2022/6/29,15:00,5234,5271,89,5834
2022/6/29,16:00,5142,5136,91,5623
2022/6/29,17:00,4884,4853,91,5341
2022/6/29,18:00,4681,4615,93,5013
2022/6/29,19:00,4541,4512,92,4931
2022/6/29,20:00,4290,4244,88,4872
2022/6/29,21:00,4003,3951,83,4799
2022/6/29,22:00,3745,3737,79,4694
2022/6/29,23:00,3464,3457,74,4644

最大使用率(%),時間帯
97,9:00～10:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
5749,14:00～15:00,6/30,0:50,3,97

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
5600,14:00～15:00,6/30,0:50

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
5523,16:00～17:00,6/30,0:50,2,98

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
5419,16:00～17:00,6/30,0:50

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2022/6/29,0:00,3256,0,0
2022/6/29,0:05,3193,0,0
2022/6/29,0:10,3189,0,0
2022/6/29,0:15,3158,0,0
2022/6/29,0:20,3127,0,0
2022/6/29,0:25,3099,0,0
2022/6/29,0:30,3086,0,0
2022/6/29,0:35,3054,0,0
2022/6/29,0:40,3050,0,0
2022/6/29,0:45,2990,0,0
2022/6/29,0:50,2988,0,0
2022/6/29,0:55,2973,0,0
2022/6/29,1:00,2948,0,0
2022/6/29,1:05,2946,0,0
2022/6/29,1:10,2916,0,0
2022/6/29,1:15,2912,0,0
2022/6/29,1:20,2885,0,0
2022/6/29,1:25,2868,0,0
2022/6/29,1:30,2865,0,0
2022/6/29,1:35,2850,0,0
2022/6/29,1:40,2857,0,0
2022/6/29,1:45,2830,0,0
2022/6/29,1:50,2810,0,0
2022/6/29,1:55,2818,0,0
2022/6/29,2:00,2787,0,0
2022/6/29,2:05,2791,0,0
2022/6/29,2:10,2745,0,0
2022/6/29,2:15,2769,0,0
2022/6/29,2:20,2766,0,0
2022/6/29,2:25,2769,0,0
2022/6/29,2:30,2759,0,0
2022/6/29,2:35,2760,0,0
2022/6/29,2:40,2756,0,0
2022/6/29,2:45,2756,0,0
2022/6/29,2:50,2709,0,0
2022/6/29,2:55,2739,0,0
2022/6/29,3:00,2738,0,0
2022/6/29,3:05,2749,0,0
2022/6/29,3:10,2723,0,0
2022/6/29,3:15,2727,0,0
2022/6/29,3:20,2748,0,0
2022/6/29,3:25,2747,0,0
2022/6/29,3:30,2723,0,0
2022/6/29,3:35,2746,0,0
2022/6/29,3:40,2734,0,0
2022/6/29,3:45,2732,0,0
2022/6/29,3:50,2728,0,0
2022/6/29,3:55,2734,0,0
2022/6/29,4:00,2732,0,0
2022/6/29,4:05,2715,0,0
2022/6/29,4:10,2737,0,0
2022/6/29,4:15,2727,0,0
2022/6/29,4:20,2735,0,0
2022/6/29,4:25,2723,0,0
2022/6/29,4:30,2716,0,0
2022/6/29,4:35,2716,0,0
2022/6/29,4:40,2727,0,0
2022/6/29,4:45,2725,0,0
2022/6/29,4:50,2710,0,0
2022/6/29,4:55,2695,1,0
2022/6/29,5:00,2715,11,0
2022/6/29,5:05,2730,24,0
2022/6/29,5:10,2745,33,1
2022/6/29,5:15,2759,42,1
2022/6/29,5:20,2749,51,1
2022/6/29,5:25,2759,61,2
2022/6/29,5:30,2781,73,2
2022/6/29,5:35,2797,86,3
2022/6/29,5:40,2809,99,3
2022/6/29,5:45,2793,113,4
2022/6/29,5:50,2823,129,4
