2022/6/17 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4550,16:00～17:00,6/17,23:20,26,79

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3625,16:00～17:00,6/17,23:20

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3947,7:00～8:00,6/17,23:20,45,69

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2724,7:00～8:00,6/17,23:20

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/6/17,0:00,2472,2460,64,3855
2022/6/17,1:00,2350,2343,62,3773
2022/6/17,2:00,2331,2327,62,3727
2022/6/17,3:00,2362,2365,63,3702
2022/6/17,4:00,2378,2376,64,3684
2022/6/17,5:00,2358,2399,63,3685
2022/6/17,6:00,2455,2488,65,3768
2022/6/17,7:00,2690,2724,68,3947
2022/6/17,8:00,3067,3080,72,4233
2022/6/17,9:00,3353,3390,75,4430
2022/6/17,10:00,3385,3463,74,4529
2022/6/17,11:00,3458,3456,73,4720
2022/6/17,12:00,3403,3385,70,4836
2022/6/17,13:00,3482,3556,71,4872
2022/6/17,14:00,3564,3505,73,4827
2022/6/17,15:00,3668,3530,76,4781
2022/6/17,16:00,3693,3625,81,4550
2022/6/17,17:00,3530,3525,81,4337
2022/6/17,18:00,3430,3458,82,4142
2022/6/17,19:00,3391,3375,83,4060
2022/6/17,20:00,3222,3216,79,4053
2022/6/17,21:00,3030,3019,74,4061
2022/6/17,22:00,2899,2891,73,3963
2022/6/17,23:00,2751,2727,70,3925

最大使用率(%),時間帯
83,19:00～20:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4097,11:00～12:00,6/18,0:50,16,86

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3545,11:00～12:00,6/18,0:50

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2788,1:00～2:00,6/18,0:50,16,86

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2413,1:00～2:00,6/18,0:50

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2022/6/17,0:00,2567,0,0
2022/6/17,0:05,2534,0,0
2022/6/17,0:10,2517,0,0
2022/6/17,0:15,2513,0,0
2022/6/17,0:20,2497,0,0
2022/6/17,0:25,2473,0,0
2022/6/17,0:30,2473,0,0
2022/6/17,0:35,2450,0,0
2022/6/17,0:40,2434,0,0
2022/6/17,0:45,2408,0,0
2022/6/17,0:50,2409,0,0
2022/6/17,0:55,2397,0,0
2022/6/17,1:00,2388,0,0
2022/6/17,1:05,2373,0,0
2022/6/17,1:10,2367,0,0
2022/6/17,1:15,2372,0,0
2022/6/17,1:20,2347,0,0
2022/6/17,1:25,2351,0,0
2022/6/17,1:30,2338,0,0
2022/6/17,1:35,2342,0,0
2022/6/17,1:40,2337,0,0
2022/6/17,1:45,2327,0,0
2022/6/17,1:50,2318,0,0
2022/6/17,1:55,2327,0,0
2022/6/17,2:00,2335,0,0
2022/6/17,2:05,2323,0,0
2022/6/17,2:10,2311,0,0
2022/6/17,2:15,2316,0,0
2022/6/17,2:20,2327,0,0
2022/6/17,2:25,2324,0,0
2022/6/17,2:30,2329,0,0
2022/6/17,2:35,2328,0,0
2022/6/17,2:40,2339,0,0
2022/6/17,2:45,2331,0,0
2022/6/17,2:50,2343,0,0
2022/6/17,2:55,2342,0,0
2022/6/17,3:00,2335,0,0
2022/6/17,3:05,2330,0,0
2022/6/17,3:10,2350,0,0
2022/6/17,3:15,2354,0,0
2022/6/17,3:20,2360,0,0
2022/6/17,3:25,2349,0,0
2022/6/17,3:30,2344,0,0
2022/6/17,3:35,2355,0,0
2022/6/17,3:40,2361,0,0
2022/6/17,3:45,2370,0,0
2022/6/17,3:50,2373,0,0
2022/6/17,3:55,2377,0,0
2022/6/17,4:00,2385,0,0
2022/6/17,4:05,2387,0,0
2022/6/17,4:10,2388,0,0
2022/6/17,4:15,2378,0,0
2022/6/17,4:20,2382,0,0
2022/6/17,4:25,2373,0,0
2022/6/17,4:30,2373,0,0
2022/6/17,4:35,2377,0,0
2022/6/17,4:40,2385,0,0
2022/6/17,4:45,2371,0,0
2022/6/17,4:50,2356,0,0
2022/6/17,4:55,2361,4,0
2022/6/17,5:00,2369,12,0
2022/6/17,5:05,2366,17,0
2022/6/17,5:10,2364,20,0
2022/6/17,5:15,2351,24,1
2022/6/17,5:20,2356,28,1
2022/6/17,5:25,2350,31,1
2022/6/17,5:30,2355,37,1
2022/6/17,5:35,2348,44,1
2022/6/17,5:40,2340,49,2
2022/6/17,5:45,2347,55,2
2022/6/17,5:50,2340,60,2
