2022/6/11 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4213,12:00～13:00,6/11,23:20,41,70

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2984,12:00～13:00,6/11,23:20

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3470,4:00～5:00,6/11,23:20,49,67

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2332,4:00～5:00,6/11,23:20

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/6/11,0:00,2455,2434,67,3653
2022/6/11,1:00,2347,2328,65,3581
2022/6/11,2:00,2335,2311,65,3551
2022/6/11,3:00,2351,2352,67,3486
2022/6/11,4:00,2350,2332,67,3470
2022/6/11,5:00,2301,2295,65,3531
2022/6/11,6:00,2291,2314,62,3639
2022/6/11,7:00,2400,2422,62,3845
2022/6/11,8:00,2642,2648,63,4129
2022/6/11,9:00,2822,2875,67,4201
2022/6/11,10:00,2932,2924,68,4262
2022/6/11,11:00,3003,2977,69,4298
2022/6/11,12:00,2957,2984,70,4213
2022/6/11,13:00,2999,2968,72,4113
2022/6/11,14:00,2885,2916,73,3922
2022/6/11,15:00,2830,2809,73,3876
2022/6/11,16:00,2837,2778,74,3798
2022/6/11,17:00,2870,2847,76,3765
2022/6/11,18:00,2931,2935,77,3806
2022/6/11,19:00,2934,2926,76,3811
2022/6/11,20:00,2818,2810,74,3786
2022/6/11,21:00,2674,2658,69,3827
2022/6/11,22:00,2569,2564,68,3762
2022/6/11,23:00,2461,2437,66,3689

最大使用率(%),時間帯
77,18:00～19:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
3526,19:00～20:00,6/12,0:50,23,81

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2874,19:00～20:00,6/12,0:50

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2679,1:00～2:00,6/12,0:50,23,81

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2183,1:00～2:00,6/12,0:50

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2022/6/11,0:00,2537,0,0
2022/6/11,0:05,2528,0,0
2022/6/11,0:10,2517,0,0
2022/6/11,0:15,2506,0,0
2022/6/11,0:20,2492,0,0
2022/6/11,0:25,2473,0,0
2022/6/11,0:30,2438,0,0
2022/6/11,0:35,2428,0,0
2022/6/11,0:40,2406,0,0
2022/6/11,0:45,2389,0,0
2022/6/11,0:50,2374,0,0
2022/6/11,0:55,2360,0,0
2022/6/11,1:00,2373,0,0
2022/6/11,1:05,2359,0,0
2022/6/11,1:10,2370,0,0
2022/6/11,1:15,2355,0,0
2022/6/11,1:20,2347,0,0
2022/6/11,1:25,2335,0,0
2022/6/11,1:30,2337,0,0
2022/6/11,1:35,2336,0,0
2022/6/11,1:40,2335,0,0
2022/6/11,1:45,2316,0,0
2022/6/11,1:50,2334,0,0
2022/6/11,1:55,2312,0,0
2022/6/11,2:00,2334,0,0
2022/6/11,2:05,2327,0,0
2022/6/11,2:10,2311,0,0
2022/6/11,2:15,2337,0,0
2022/6/11,2:20,2347,0,0
2022/6/11,2:25,2330,0,0
2022/6/11,2:30,2325,0,0
2022/6/11,2:35,2333,0,0
2022/6/11,2:40,2336,0,0
2022/6/11,2:45,2326,0,0
2022/6/11,2:50,2334,0,0
2022/6/11,2:55,2343,0,0
2022/6/11,3:00,2337,0,0
2022/6/11,3:05,2358,0,0
2022/6/11,3:10,2352,0,0
2022/6/11,3:15,2347,0,0
2022/6/11,3:20,2355,0,0
2022/6/11,3:25,2356,0,0
2022/6/11,3:30,2351,0,0
2022/6/11,3:35,2344,0,0
2022/6/11,3:40,2336,0,0
2022/6/11,3:45,2333,0,0
2022/6/11,3:50,2347,0,0
2022/6/11,3:55,2347,0,0
2022/6/11,4:00,2354,0,0
2022/6/11,4:05,2348,0,0
2022/6/11,4:10,2356,0,0
2022/6/11,4:15,2350,0,0
2022/6/11,4:20,2346,0,0
2022/6/11,4:25,2354,0,0
2022/6/11,4:30,2352,0,0
2022/6/11,4:35,2345,0,0
2022/6/11,4:40,2340,0,0
2022/6/11,4:45,2329,0,0
2022/6/11,4:50,2324,0,0
2022/6/11,4:55,2330,3,0
2022/6/11,5:00,2328,11,0
2022/6/11,5:05,2343,16,0
2022/6/11,5:10,2341,20,0
2022/6/11,5:15,2334,23,0
2022/6/11,5:20,2322,27,1
2022/6/11,5:25,2296,30,1
2022/6/11,5:30,2278,35,1
2022/6/11,5:35,2271,40,1
2022/6/11,5:40,2275,45,1
2022/6/11,5:45,2252,50,2
2022/6/11,5:50,2244,55,2
