2022/9/17 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4496,13:00～14:00,9/17,23:20,19,83

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3769,13:00～14:00,9/17,23:20

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
4062,17:00～18:00,9/17,23:20,15,86

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3519,17:00～18:00,9/17,23:20

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/9/17,0:00,2675,2681,75,3526
2022/9/17,1:00,2504,2530,82,3035
2022/9/17,2:00,2424,2443,80,2999
2022/9/17,3:00,2419,2431,81,2969
2022/9/17,4:00,2410,2426,82,2935
2022/9/17,5:00,2407,2429,81,2956
2022/9/17,6:00,2400,2454,79,3025
2022/9/17,7:00,2628,2600,79,3306
2022/9/17,8:00,3009,2878,81,3681
2022/9/17,9:00,3427,3265,87,3911
2022/9/17,10:00,3644,3518,88,4120
2022/9/17,11:00,3730,3746,86,4335
2022/9/17,12:00,3735,3754,85,4379
2022/9/17,13:00,3708,3769,82,4496
2022/9/17,14:00,3671,3732,81,4492
2022/9/17,15:00,3621,3646,84,4297
2022/9/17,16:00,3560,3580,84,4208
2022/9/17,17:00,3567,3519,87,4062
2022/9/17,18:00,3599,3528,83,4285
2022/9/17,19:00,3491,3477,81,4294
2022/9/17,20:00,3343,3328,78,4257
2022/9/17,21:00,3159,3130,76,4132
2022/9/17,22:00,3013,2997,72,4173
2022/9/17,23:00,2855,2844,69,4108

最大使用率(%),時間帯
88,10:00～11:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4011,18:00～19:00,9/17,23:50,13,88

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3550,18:00～19:00,9/17,23:50

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3288,8:00～9:00,9/17,23:50,13,88

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2910,8:00～9:00,9/17,23:50

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2022/9/17,0:00,2792,0,0
2022/9/17,0:05,2775,0,0
2022/9/17,0:10,2757,0,0
2022/9/17,0:15,2721,0,0
2022/9/17,0:20,2712,0,0
2022/9/17,0:25,2677,0,0
2022/9/17,0:30,2677,0,0
2022/9/17,0:35,2653,0,0
2022/9/17,0:40,2638,0,0
2022/9/17,0:45,2612,0,0
2022/9/17,0:50,2580,0,0
2022/9/17,0:55,2582,0,0
2022/9/17,1:00,2564,0,0
2022/9/17,1:05,2556,0,0
2022/9/17,1:10,2531,0,0
2022/9/17,1:15,2524,0,0
2022/9/17,1:20,2507,0,0
2022/9/17,1:25,2508,0,0
2022/9/17,1:30,2503,0,0
2022/9/17,1:35,2494,0,0
2022/9/17,1:40,2482,0,0
2022/9/17,1:45,2477,0,0
2022/9/17,1:50,2459,0,0
2022/9/17,1:55,2459,0,0
2022/9/17,2:00,2437,0,0
2022/9/17,2:05,2431,0,0
2022/9/17,2:10,2433,0,0
2022/9/17,2:15,2420,0,0
2022/9/17,2:20,2419,0,0
2022/9/17,2:25,2412,0,0
2022/9/17,2:30,2418,0,0
2022/9/17,2:35,2416,0,0
2022/9/17,2:40,2421,0,0
2022/9/17,2:45,2411,0,0
2022/9/17,2:50,2405,0,0
2022/9/17,2:55,2411,0,0
2022/9/17,3:00,2418,0,0
2022/9/17,3:05,2414,0,0
2022/9/17,3:10,2418,0,0
2022/9/17,3:15,2419,0,0
2022/9/17,3:20,2420,0,0
2022/9/17,3:25,2404,0,0
2022/9/17,3:30,2405,0,0
2022/9/17,3:35,2411,0,0
2022/9/17,3:40,2411,0,0
2022/9/17,3:45,2413,0,0
2022/9/17,3:50,2417,0,0
2022/9/17,3:55,2409,0,0
2022/9/17,4:00,2417,0,0
2022/9/17,4:05,2407,0,0
2022/9/17,4:10,2404,0,0
2022/9/17,4:15,2395,0,0
2022/9/17,4:20,2389,0,0
2022/9/17,4:25,2394,0,0
2022/9/17,4:30,2405,0,0
2022/9/17,4:35,2408,0,0
2022/9/17,4:40,2401,0,0
2022/9/17,4:45,2425,0,0
2022/9/17,4:50,2414,0,0
2022/9/17,4:55,2405,0,0
2022/9/17,5:00,2416,0,0
2022/9/17,5:05,2405,0,0
2022/9/17,5:10,2422,0,0
2022/9/17,5:15,2423,0,0
2022/9/17,5:20,2432,0,0
2022/9/17,5:25,2413,0,0
2022/9/17,5:30,2411,0,0
2022/9/17,5:35,2408,1,0
2022/9/17,5:40,2394,3,0
2022/9/17,5:45,2378,6,0
2022/9/17,5:50,2366,15,0
