2022/7/11 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
5614,13:00～14:00,7/11,23:20,11,89

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
5043,13:00～14:00,7/11,23:20

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
5094,10:00～11:00,7/11,23:20,8,92

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
4699,10:00～11:00,7/11,23:20

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/7/11,0:00,2764,2719,83,3329
2022/7/11,1:00,2596,2575,79,3271
2022/7/11,2:00,2534,2519,78,3233
2022/7/11,3:00,2533,2524,78,3214
2022/7/11,4:00,2550,2546,79,3215
2022/7/11,5:00,2630,2626,79,3312
2022/7/11,6:00,2909,2864,81,3564
2022/7/11,7:00,3429,3365,86,3945
2022/7/11,8:00,4062,4033,90,4472
2022/7/11,9:00,4575,4531,92,4934
2022/7/11,10:00,4789,4699,94,5094
2022/7/11,11:00,4915,4904,92,5341
2022/7/11,12:00,4884,4909,90,5383
2022/7/11,13:00,4996,5043,88,5614
2022/7/11,14:00,5022,5021,88,5683
2022/7/11,15:00,4978,4928,89,5576
2022/7/11,16:00,4887,4852,91,5355
2022/7/11,17:00,4607,4570,91,5026
2022/7/11,18:00,4417,4382,91,4834
2022/7/11,19:00,4256,4235,89,4748
2022/7/11,20:00,4005,3988,84,4713
2022/7/11,21:00,3740,3734,79,4700
2022/7/11,22:00,3538,3532,75,4671
2022/7/11,23:00,3302,3276,71,4592

最大使用率(%),時間帯
94,10:00～11:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
5017,13:00～14:00,7/12,0:50,9,91

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
4609,13:00～14:00,7/12,0:50

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
4310,8:00～9:00,7/12,0:50,9,91

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3960,8:00～9:00,7/12,0:50

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2022/7/11,0:00,2878,0,0
2022/7/11,0:05,2867,0,0
2022/7/11,0:10,2845,0,0
2022/7/11,0:15,2816,0,0
2022/7/11,0:20,2798,0,0
2022/7/11,0:25,2767,0,0
2022/7/11,0:30,2748,0,0
2022/7/11,0:35,2739,0,0
2022/7/11,0:40,2700,0,0
2022/7/11,0:45,2693,0,0
2022/7/11,0:50,2680,0,0
2022/7/11,0:55,2677,0,0
2022/7/11,1:00,2636,0,0
2022/7/11,1:05,2658,0,0
2022/7/11,1:10,2646,0,0
2022/7/11,1:15,2632,0,0
2022/7/11,1:20,2603,0,0
2022/7/11,1:25,2584,0,0
2022/7/11,1:30,2578,0,0
2022/7/11,1:35,2570,0,0
2022/7/11,1:40,2569,0,0
2022/7/11,1:45,2571,0,0
2022/7/11,1:50,2550,0,0
2022/7/11,1:55,2549,0,0
2022/7/11,2:00,2554,0,0
2022/7/11,2:05,2550,0,0
2022/7/11,2:10,2534,0,0
2022/7/11,2:15,2548,0,0
2022/7/11,2:20,2528,0,0
2022/7/11,2:25,2520,0,0
2022/7/11,2:30,2539,0,0
2022/7/11,2:35,2530,0,0
2022/7/11,2:40,2529,0,0
2022/7/11,2:45,2521,0,0
2022/7/11,2:50,2514,0,0
2022/7/11,2:55,2536,0,0
2022/7/11,3:00,2533,0,0
2022/7/11,3:05,2537,0,0
2022/7/11,3:10,2521,0,0
2022/7/11,3:15,2515,0,0
2022/7/11,3:20,2526,0,0
2022/7/11,3:25,2530,0,0
2022/7/11,3:30,2525,0,0
2022/7/11,3:35,2533,0,0
2022/7/11,3:40,2534,0,0
2022/7/11,3:45,2536,0,0
2022/7/11,3:50,2530,0,0
2022/7/11,3:55,2540,0,0
2022/7/11,4:00,2540,0,0
2022/7/11,4:05,2534,0,0
2022/7/11,4:10,2532,0,0
2022/7/11,4:15,2545,0,0
2022/7/11,4:20,2538,0,0
2022/7/11,4:25,2536,0,0
2022/7/11,4:30,2549,0,0
2022/7/11,4:35,2558,0,0
2022/7/11,4:40,2559,0,0
2022/7/11,4:45,2553,0,0
2022/7/11,4:50,2556,0,0
2022/7/11,4:55,2547,0,0
2022/7/11,5:00,2536,0,0
2022/7/11,5:05,2553,8,0
2022/7/11,5:10,2584,17,0
2022/7/11,5:15,2594,26,1
2022/7/11,5:20,2604,33,1
2022/7/11,5:25,2593,40,1
2022/7/11,5:30,2632,50,1
2022/7/11,5:35,2638,60,2
2022/7/11,5:40,2647,71,2
2022/7/11,5:45,2659,82,3
2022/7/11,5:50,2673,95,3
